matrix_key,source_section,orfogrammka_id,title,entry_type,parent_path,depth,source_url,status,executable,rule_ids,requires,eligible_now,reason
punctuation_group_znaki_prepinaniya_v_kontse_v_nachale_v_seredine_predlozheniya_znaki_kontsa_predlozheniya_vnutri_predlozheniya,punctuation,,Знаки конца предложения внутри предложения,group,"[""Знаки препинания в конце, в начале, в середине предложения""]",2,https://orfogrammka.ru/пунктуация/,metadata_only,false,[],[],false,metadata_only
punctuation_1_3_5,punctuation,1.3.5,Непонятная точка,leaf_rule,"[""Знаки препинания в конце, в начале, в середине предложения"", ""Знаки конца предложения внутри предложения""]",3,https://orfogrammka.ru/пунктуация/непонятная_точка/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
punctuation_1_4,punctuation,1.4,Запятая между подлежащим и сказуемым,leaf_rule,"[""Знаки препинания в конце, в начале, в середине предложения""]",2,https://orfogrammka.ru/пунктуация/запятая_между_подлежащим_и_сказуемым/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
punctuation_1_5,punctuation,1.5,Лишняя запятая в управлении,leaf_rule,"[""Знаки препинания в конце, в начале, в середине предложения""]",2,https://orfogrammka.ru/пунктуация/лишняя-запятая-в-управлении/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
punctuation_group_tire_mezhdu_chlenami_predlozheniya,punctuation,,Тире между членами предложения,group,[],1,https://orfogrammka.ru/пунктуация/,metadata_only,false,[],[],false,metadata_only
punctuation_group_tire_mezhdu_chlenami_predlozheniya_tire_mezhdu_podlezhaschim_i_skazuemym,punctuation,,Тире между подлежащим и сказуемым,group,"[""Тире между членами предложения""]",2,https://orfogrammka.ru/пунктуация/,metadata_only,false,[],[],false,metadata_only
punctuation_2_1_1,punctuation,2.1.1,Тире при подлежащем и сказуемом в именительном падеже,leaf_rule,"[""Тире между членами предложения"", ""Тире между подлежащим и сказуемым""]",3,https://orfogrammka.ru/пунктуация/тире_при_подлежащем_и_сказуемом_в_именительном_падеже/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
punctuation_2_1_2,punctuation,2.1.2,"Тире перед словами «вот», «это»",leaf_rule,"[""Тире между членами предложения"", ""Тире между подлежащим и сказуемым""]",3,https://orfogrammka.ru/пунктуация/тире_перед_словами_вот_это/,model_required,true,"[""subject_predicate_dash""]","[""model"", ""syntax""]",true,eligible_but_needs_threshold
punctuation_2_1_3,punctuation,2.1.3,Подлежащее и/или сказуемое выражены инфинитивом,leaf_rule,"[""Тире между членами предложения"", ""Тире между подлежащим и сказуемым""]",3,https://orfogrammka.ru/пунктуация/подлежащее_или_сказуемое_выражены_инфинитивом/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
punctuation_2_1_4,punctuation,2.1.4,Сказуемое выражено числительным,leaf_rule,"[""Тире между членами предложения"", ""Тире между подлежащим и сказуемым""]",3,https://orfogrammka.ru/пунктуация/сказуемое_выражено_числительным/,syntax_required,false,[],"[""model"", ""syntax""]",false,needs_syntax
