row_index,split,source_length_chars,source_length_tokens,total_ms,candidate_generation_ms,dictionary_candidate_ms,punctuation_candidate_ms,syntax_ms,diff_alignment_ms,tokenizer_encode_ms,replacement_encoding_ms,label_build_ms,candidate_count,dictionary_candidate_count,punctuation_candidate_count,keep_candidate_count,rule_ids,slow_reason
745,train,104,17,8.904792997782351,5.364671000279486,1.2828219987568446,0.3681740017782431,0.0018789978639688343,1.515019997896161,0.2229999990959186,0.9235489997081459,0.8721260019228794,16,1,0,17,extra_letter_candidate|frequent_error_exact,diff_alignment
746,train,243,32,21.80094999857829,16.46278099724441,2.0051239916938357,0.6002720001561102,0.0015829973563086241,2.5094729971897323,0.3247599997848738,1.0774239999591373,1.418502000888111,16,2,4,32,comma_subordinate|dictionary_fuzzy|extra_letter_candidate|homogeneous_comma|ne_adjective|quote_pair_balance,diff_alignment
747,train,86,13,35.95194100125809,32.748446999903535,26.637146991561167,0.32733199986978434,0.0021750020096078515,1.2243769997439813,0.2598869978100993,0.9848619993135799,0.7259630001499318,16,2,0,13,dictionary_fuzzy|ne_adverb|ne_verb,dictionary
748,train,202,28,41.48789299870259,37.19095399719663,23.50069898602669,0.5226419998507481,0.002373999450355768,2.000181000767043,0.3027079983439762,0.9659729985287413,1.020659998175688,16,0,3,28,explanation_colon|quote_close|quote_open,dictionary
749,train,202,20,70.32092499866849,66.45357200250146,56.50270398473367,0.4555929990601726,0.002373002644162625,1.6780919977463782,0.2948950022982899,0.9537110017845407,0.9336359980807174,16,3,0,20,context_tak_zhe|dictionary_fuzzy|extra_letter_candidate,dictionary
750,train,248,35,59.49081200014916,53.922325001622085,39.711899000394624,0.5154229984327685,0.0018789978639688343,3.03280699881725,0.3203090018359944,0.9742800029926002,1.2334750026639085,16,4,0,35,dictionary_fuzzy|n_nn_short_form|ne_adjective,dictionary
751,train,97,13,38.626168003247585,35.158238002622966,27.698647012584843,0.36659200122812763,0.0020759980543516576,1.4963279973017052,0.24416300220764242,0.9835760029091034,0.73723700188566,16,2,1,13,comma_conjunction|double_consonant_candidate|extra_letter_candidate,dictionary
752,train,69,10,34.30707699953928,31.749939000292215,24.89170899571036,0.28015999851049855,0.001978001819225028,0.9164279981632717,0.2263630012748763,0.7818369995220564,0.6263790019147564,11,1,0,10,dictionary_fuzzy,dictionary
753,train,88,10,16.060193000157597,13.038363002124242,6.780900002922863,0.2846100032911636,0.0018789978639688343,1.2640330023714341,0.18690499928197823,0.8670809984323569,0.6978780002100393,12,2,0,10,double_consonant_candidate|extra_letter_candidate,dictionary
754,train,106,17,45.642725002835505,41.7075309997017,35.45936300361063,0.40555500163463876,0.0017799975466914475,1.5600149999954738,0.21914299941272475,0.9945520032488275,1.1543610016815364,16,5,2,17,dictionary_fuzzy|extra_letter_candidate|homogeneous_comma|keyboard_typo_candidate|n_nn_short_form,dictionary
755,train,61,8,39.968918998056324,37.59848700065049,33.210469995538006,0.24119700174196623,0.0021759988158009946,0.7363470031123143,0.1680169989413116,0.898529000551207,0.5600220029009506,14,4,1,8,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default|keyboard_typo_candidate|missing_letter_candidate,dictionary
756,train,200,23,21.16952600044897,15.747696001199074,5.621986994810868,0.47349300075438805,0.001978001819225028,2.088294000714086,0.39813699913793243,1.009485000395216,1.919188998726895,16,1,0,23,capitalization_sentence_start|dictionary_fuzzy,dictionary
757,train,184,20,34.81775399995968,29.612198999529937,20.001616998342797,0.6831430000602268,0.001977998181246221,2.074646999972174,0.2988500018545892,1.0324279974156525,1.7923119994520675,16,2,1,20,capitalization_sentence_start|final_punctuation_default|keyboard_typo_candidate|ne_adjective,dictionary
758,train,245,38,70.28423700103303,64.7733040023013,50.8226640013163,0.6314230013231281,0.0021760024537798017,2.8544070009957068,0.3227820016036276,1.0017719978350215,1.323862001299858,16,3,0,38,capitalization_sentence_start|dictionary_fuzzy|double_consonant_candidate|extra_letter_candidate|pattern_цы_ци,dictionary
759,train,186,35,19.67181300278753,12.495843002398033,0.9817950012802612,0.8229759987443686,0.001977998181246221,3.1090529992070515,0.256228002399439,0.9169230033876374,2.8862500003015157,16,0,6,35,bracket_pair_balance|comma_subordinate|final_punctuation_default|hyphen_particles|punctuation_delete_replace|subject_predicate_dash,diff_alignment
760,train,175,25,38.076133001595736,32.84407499813824,23.991101003048243,0.6531789986183867,0.0022750027710571885,2.274407997902017,0.3500759994494729,1.0170999994443264,1.58364999879268,16,2,0,25,dictionary_fuzzy,dictionary
761,train,162,23,72.95865999913076,67.58123300096486,58.16051999499905,0.5268940003588796,0.002077002136502415,2.335523000510875,0.2793690000544302,0.9820929990382865,1.772432999132434,16,5,0,23,capitalization_sentence_start|dictionary_fuzzy|double_consonant_candidate|keyboard_typo_candidate|missing_letter_candidate,dictionary
762,train,112,18,15.312474002712406,11.735564999980852,5.859525001142174,0.42098199992324226,0.0022749991330783814,1.4713089985889383,0.22923100186744705,0.9236480000254232,0.945009000133723,16,1,1,18,comma_subordinate|context_chto_by|double_consonant_candidate|hyphen_particles|prefix_pre_pri,dictionary
763,train,138,24,62.76956299916492,57.96194800132071,47.884896004688926,0.5561660000239499,0.0034609984140843153,2.044288001343375,0.308738999592606,0.97685099899536,1.4709130009578075,16,2,1,24,comma_subordinate|dictionary_fuzzy|tsya_soft_insert,dictionary
764,train,34,6,17.22266400247463,15.33007699981681,12.948174004122848,0.22230800095712766,0.001977001375053078,0.5665500029863324,0.1764230000844691,0.7825289976608474,0.3599659976316616,12,4,1,6,extra_letter_candidate|frequent_error_exact|keyboard_typo_candidate|missing_letter_candidate|subject_predicate_dash,dictionary
765,train,161,15,14.68747900071321,10.711146998801269,1.495733991760062,0.5086979981570039,0.0021759988158009946,1.4572670006600674,0.26680999872041866,0.9991020015149843,1.2461320002330467,16,0,2,15,quote_close|quote_open,dictionary
766,train,85,12,24.522445997718023,21.55985200079158,14.594920001400169,0.3000370015797671,0.0017800011846702546,1.1410110018914565,0.2011459982895758,0.9244380016752984,0.6894719990668818,16,3,0,12,dictionary_fuzzy|extra_letter_candidate|missing_letter_candidate|ne_verb,dictionary
767,train,193,26,58.91731099836761,53.419679003127385,42.63335599534912,0.6794950022595003,0.0017810016288422048,2.321236999705434,0.29232299857540056,1.0049560005427338,1.8728869981714524,16,1,0,26,dictionary_fuzzy|ne_adverb,dictionary
768,train,66,13,11.659175001113908,9.030469998833723,4.895864003628958,0.2769189995888155,0.0020759980543516576,0.9842939980444498,0.20988899996154942,0.8450919995084405,0.5831020025652833,15,0,0,13,context_chto_by|prefix_pre_pri,dictionary
769,train,72,11,38.7143020016083,35.76003700072761,30.109641997114522,0.5252670016488992,0.0017800011846702546,1.0871129998122342,0.17489099991507828,1.070800000888994,0.6111789989518002,15,4,0,11,dictionary_fuzzy|extra_letter_candidate|keyboard_typo_candidate,dictionary
770,train,64,10,10.772065001219744,8.234019001974957,5.046040001616348,0.27227199825574644,0.001976997737074271,0.873665001563495,0.2388559987593908,0.8091060008155182,0.6097950026742183,13,2,0,10,dictionary_fuzzy|keyboard_typo_candidate|tsya_soft_delete,dictionary
771,train,41,6,16.81752300282824,14.95837900074548,12.522358996648109,0.22333499873639084,0.0020760016923304647,0.5545300009544007,0.1671800018812064,0.7494909987144638,0.38072699680924416,10,2,2,6,bracket_pair_balance|dictionary_fuzzy|final_punctuation_default,dictionary
772,train,35,5,19.858095998642966,18.373945000348613,16.79092799895443,0.22778399943490513,0.0018780010577756912,0.4330259980633855,0.1392010017298162,0.5865619968972169,0.3196280013071373,7,1,1,5,final_punctuation_default|keyboard_typo_candidate,dictionary
773,train,84,10,29.15223799936939,26.531046998570673,20.58218000092893,0.46822100193821825,0.0018780010577756912,0.9776699989743065,0.18843499856302515,0.7882450008764863,0.6595229970116634,12,1,1,10,final_punctuation_default|missing_letter_candidate,dictionary
774,train,41,5,7.503708002332132,5.815004999021767,2.3079880011209752,0.19199499729438685,0.0016810008673928678,0.6106849978095852,0.23747199884383008,0.5292210007610265,0.3054910011996981,8,2,1,5,dictionary_fuzzy|double_consonant_candidate|final_punctuation_default,dictionary
775,train,82,11,39.102839000406675,35.92474499964737,29.90331099863397,0.33208500099135563,0.0013839999155607074,1.0804890007420909,0.19288499970571138,1.0790050000650808,0.818200995126972,16,2,2,11,bracket_pair_balance|dictionary_fuzzy|final_punctuation_default|missing_letter_candidate|n_nn_short_form,dictionary
776,train,53,7,5.557760003284784,3.714829003001796,0.5123150003782939,0.23786699966876768,0.0021750020096078515,0.5949660007900093,0.19090700152446516,0.6031720004102681,0.44795400026487187,9,0,1,7,capitalization_sentence_start|final_punctuation_default,diff_alignment
777,train,50,6,7.2432000015396625,4.960817001119722,0.644201001705369,0.2082089995383285,0.001582000550115481,1.086125001165783,0.14948299940442666,0.5923950011492707,0.4476569993130397,9,0,2,6,final_punctuation_default|n_nn_short_form|punctuation_delete_replace,diff_alignment
778,train,100,10,19.49101399804931,16.547326998988865,4.935506993206218,0.6463749996328261,0.0015810001059435308,1.0235430017928593,0.22303799778455868,0.8079200015345123,0.8816729969112203,11,0,1,10,final_punctuation_default,dictionary
779,train,53,9,6.131469999672845,4.091898001206573,0.40297200030181557,0.2169090003008023,0.0016809972294140607,0.6577450003533158,0.18062600065604784,0.6836469983682036,0.5119189991091844,10,0,1,9,final_punctuation_default,diff_alignment
