row_index,split,source_length_chars,source_length_tokens,total_ms,candidate_generation_ms,dictionary_candidate_ms,punctuation_candidate_ms,syntax_ms,diff_alignment_ms,tokenizer_encode_ms,replacement_encoding_ms,label_build_ms,candidate_count,dictionary_candidate_count,punctuation_candidate_count,keep_candidate_count,rule_ids,slow_reason
35,test,76,14,10.968000002321787,5.251200003840495,0.18009999621426687,0.4654000003938563,0.0010000003385357559,2.1166000005905516,0.27180000324733555,1.9774000029428862,1.3434000065899454,16,1,2,14,capitalization_sentence_start|comma_conjunction|dictionary_fuzzy|final_punctuation_default,diff_alignment
36,test,119,19,14.7205999965081,7.1160000006784685,0.3124000068055466,0.5326000027707778,0.0013000026228837669,3.121999994618818,0.31570000282954425,2.038799997535534,2.119499993568752,16,3,1,19,capitalization_sentence_start|final_punctuation_default|keyboard_typo_candidate|missing_letter_candidate|swapped_letters_candidate,diff_alignment
37,test,74,13,10.769599997729529,4.877999999735039,0.19189999147783965,0.45510000200010836,0.001400003384333104,2.1660999991581775,0.34700000105658546,1.955799998540897,1.4155000026221387,16,0,2,13,capitalization_sentence_start|comma_subordinate|final_punctuation_default|frequent_error_exact,diff_alignment
38,test,52,7,7.329899999604095,3.241900005377829,0.15369999164249748,0.2969999986817129,0.0010000003385357559,1.593900000443682,0.2308000039192848,1.3770000005024485,0.8789999992586672,11,2,1,7,capitalization_sentence_start|double_consonant_candidate|final_punctuation_default|missing_letter_candidate,diff_alignment
39,test,79,13,10.54889999795705,4.963699997460935,0.1953999963006936,0.4408000022522174,0.001400003384333104,1.9981999939773232,0.25379999715369195,2.008900002692826,1.3174000050639734,16,1,2,13,capitalization_sentence_start|comma_subordinate|final_punctuation_default|missing_letter_candidate,diff_alignment
40,test,31,5,5.249099995126016,2.300400003150571,0.09959999442799017,0.2575999969849363,0.0013000026228837669,0.8976000026450492,0.22330000501824543,1.1699000024236739,0.6498999937321059,9,2,1,5,capitalization_sentence_start|dictionary_fuzzy|final_punctuation_default|keyboard_typo_candidate,diff_alignment
41,test,29,5,5.016600000089966,2.1458000046550296,0.09309999586548656,0.21769999875687063,0.0011000010999850929,0.8780999996815808,0.23599999985890463,1.0830999963218346,0.6664999964414164,9,2,1,5,capitalization_sentence_start|dictionary_fuzzy|keyboard_typo_candidate|punctuation_delete_replace,diff_alignment
42,test,138,18,153.12519999861252,145.44149999710498,128.21829997119494,0.6093999982113019,0.0011999945854768157,3.098200002568774,0.5021999968448654,2.1641000057570636,1.9080000056419522,16,4,0,18,dictionary_fuzzy|extra_letter_candidate|missing_letter_candidate,dictionary
43,test,90,12,17.44219999818597,12.289199999941047,4.922000000078697,0.40559999615652487,0.0014999968698248267,1.8940000009024516,0.3645999968284741,1.6912999999476597,1.1969000042881817,13,1,0,12,missing_letter_candidate,dictionary
44,test,58,7,64.70809999882476,60.994299994490575,53.58489999343874,0.38779999886173755,0.0011000010999850929,1.2064999973517843,0.30949999927543104,1.4396000042324886,0.7503000015276484,10,1,1,7,capitalization_sentence_start|final_punctuation_default|missing_letter_candidate,dictionary
45,test,59,10,12.82290000381181,8.288500001071952,0.6538000088767149,0.36669999826699495,0.0013000026228837669,1.4317000022856519,0.49730000318959355,1.6277000031550415,0.9709999940241687,13,0,2,10,capitalization_sentence_start|comma_subordinate|final_punctuation_default,diff_alignment
