rule_id,activation_stage,production_ready,atomic_positive_count,hard_negative_count,candidate_recall,gold_count,ready_for_full_build,main_blocker,top_rejection_reason,recommended_next_action,corpus_mined_positive_count,syntax_mined_positive_count,morphology_mined_positive_count,real_pattern_replay_positive_count,rule_lab_positive_count,corpus_mined_share,rule_lab_share,corpus_mined_hard_negative_count,rule_lab_hard_negative_count,unique_source_count,unique_target_count,unique_left_context_count,unique_right_context_count,unique_sentence_pattern_count,dominant_template_share,dominant_source_type_share,near_duplicate_count,structural_diversity_status,structural_diversity_reason
pol_polu_compounds,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
prefix_pre_pri,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
prefix_s_to_z,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
prefix_z_to_s,threshold_calibration,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
punctuation_delete_replace,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,no_atomic_positive_rows
quote_pair_balance,threshold_calibration,False,0,0,0.0,0,False,target_quality_failed,target_quality_failed,fix_template_or_context_quality,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,no_atomic_positive_rows
sdelat_prefix,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
semicolon,needs_training,False,0,0,0.0,0,False,opportunities_seen_0,,add_rule_specific_miner_or_templates,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
soft_to_hard_sign,threshold_calibration,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,
subject_predicate_dash,threshold_calibration,False,0,0,0.0,0,False,non_atomic_edit_count,non_atomic_edit_count,fix_operator_or_miner_to_generate_atomic_edits,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,no_atomic_positive_rows
swapped_letters_candidate,validator_dependent,False,0,0,0.0,0,False,pattern_replay_unsafe,pattern_replay_unsafe,inspect_rule_data_compiler_rejections,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,no_atomic_positive_rows
tsya_soft_delete,threshold_calibration,False,0,0,0.0,0,False,candidate_missing,candidate_missing,fix_candidate_generator_or_rule_mapping,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,no_atomic_positive_rows
tsya_soft_insert,threshold_calibration,False,0,0,0.0,0,False,candidate_missing,candidate_missing,fix_candidate_generator_or_rule_mapping,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,empty,no_atomic_positive_rows
